ticker,name,isin,code,constraint_group
EPRA.PA,Amundi FTSE EPRA NAREIT Global,LU1437018838,EQ_GLB_SEC.RE,REIT
XDW0.XETRA,Xtrackers MSCI World Energy,IE00BM67HM91,EQ_GLB_SEC.ENRG,ENERGY
XDWI.XETRA,Xtrackers MSCI World Industrials,IE00BM67HV82,EQ_GLB_SEC.IND,INDUSTRIALS
DFEN.XETRA,VanEck Defense,IE000YYE6WK5,EQ_GLB_THM.DEF,INDUSTRIALS
G2X.XETRA,VanEck Gold Miners,IE00BQQP9F84,EQ_GLB_SEC.PREC,GOLD_MINERS
WMOT.XETRA,VanEck US Wide Moat,IE0007I99HX7,EQ_USA_FAC.MOAT,US_BROAD
VCAA.XETRA,Vanguard EUR Cash,IE000SOORXS0,CASH_EUR,CASH_FALLBACK
VGEK.XETRA,Vanguard FTSE Dev Asia Pacific ex Japan,IE00BK5BQZ41,EQ_APAC_REG,ASIA_EX_JP
VWCG.XETRA,Vanguard FTSE Developed Europe,IE00BK5BQX27,EQ_EUR_REG,EUROPE
VFEA.XETRA,Vanguard FTSE Emerging Markets,IE00BK5BR733,EQ_EM_REG,EMERGING_MARKETS
VJPA.XETRA,Vanguard FTSE Japan,IE00BFMXYX26,EQ_JPN_REG,JAPAN
VNRA.XETRA,Vanguard FTSE North America,IE00BK5BQW10,EQ_USA_REG,US_BROAD
WTIC.XETRA,WisdomTree Enhanced Commodity,IE00BYMLZY74,COM_GLB_REG,COMMODITIES
WBLC.XETRA,WisdomTree Physical Crypto Mega Cap,GB00BMTP1626,EQ_GLB_THM.BLKC,CRYPTO
MTH.PA,Amundi Euro Government Bond 25+Y Acc,LU1686832194,FI_EMU_GOV,BOND_LONG
XDWF.XETRA,Xtrackers MSCI World Financials,IE00BM67HL84,EQ_GLB_SEC.FIN,FINANCIALS
XDWH.XETRA,Xtrackers MSCI World Health Care,IE00BM67HK77,EQ_GLB_SEC.HLTH,HEALTHCARE
XDWT.XETRA,Xtrackers MSCI World Information Technology,IE00BM67HT60,EQ_GLB_SEC.TECH,TECH_AND_GROWTH
XDWU.XETRA,Xtrackers MSCI World Utilities,IE00BM67HQ30,EQ_GLB_SEC.UTIL,UTILITIES
XNAS.XETRA,Xtrackers NASDAQ 100,IE00BMFKG444,EQ_USA_REG,TECH_AND_GROWTH
